Story ID,Title,Description,Source File,Biological_Integration_Level,Godhood_Achievable,Testing_Status,Harmonization_Score,Consciousness_Level_Required,Biological_Testing_Priority
US-001,"to US-015, US-374 to US-388)",Comprehensive security features,docs/9.x-user-interface/9.1-wireframes/00_index.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-002,| AI understands career goals | 01.1 | HIGH |,,docs/9.x-user-interface/9.1-wireframes/01_onboarding.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-003,Dashboard Overview,"As a logged-in user, I want to see a dashboard overview so that I can quickly understand my job search status",docs/9.x-user-interface/9.1-wireframes/09_dashboard_analytics.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-004,to US-006**,Profile import capabilities,docs/9.x-user-interface/9.1-wireframes/01_onboarding.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-005,| Automatic skill extraction | 01.2 | HIGH |,,docs/9.x-user-interface/9.1-wireframes/01_onboarding.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-006,| Profile completeness feedback | 01.2 | MEDIUM |,,docs/9.x-user-interface/9.1-wireframes/01_onboarding.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-007,to US-391**,CV analysis and extraction,docs/9.x-user-interface/9.1-wireframes/01_onboarding.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-008,| Multi-format document support | 01.3 | HIGH |,,docs/9.x-user-interface/9.1-wireframes/01_onboarding.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-009,| CV analysis insights | 01.3 | MEDIUM |,,docs/9.x-user-interface/9.1-wireframes/01_onboarding.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-010,Core data protection (`weight,8`),docs/9.x-user-interface/9.1-wireframes/10_settings_personalization.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-011,to US-014**,Multimedia onboarding options,docs/9.x-user-interface/9.1-wireframes/01_onboarding.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-012,| Video coaching tips | 01.4 | LOW |,,docs/9.x-user-interface/9.1-wireframes/01_onboarding.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-013,| Voice setup assistance | 01.5 | MEDIUM |,,docs/9.x-user-interface/9.1-wireframes/01_onboarding.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-014,| Voice command testing | 01.5 | LOW |,,docs/9.x-user-interface/9.1-wireframes/01_onboarding.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-015,to US-016**,Privacy and compliance,docs/9.x-user-interface/9.1-wireframes/01_onboarding.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-016,"to US-030, US-046 to US-050)",Platform infrastructure and admin,docs/9.x-user-interface/9.1-wireframes/00_index.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-017,| Core module foundation | Backend only | 5 |,,docs/9.x-user-interface/9.1-wireframes/11_system_administration.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-018,| Module integration core | Backend only | 5 |,,docs/9.x-user-interface/9.1-wireframes/11_system_administration.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-019,Core service health (`weight,5`),docs/9.x-user-interface/9.1-wireframes/11_system_administration.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-020,| Service discovery core | Backend only | 3 |,,docs/9.x-user-interface/9.1-wireframes/11_system_administration.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-021,Configuration management (`weight,5`),docs/9.x-user-interface/9.1-wireframes/11_system_administration.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-022,Configuration core (`weight,5`),docs/9.x-user-interface/9.1-wireframes/11_system_administration.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-023,Configuration storage (`weight,3`),docs/9.x-user-interface/9.1-wireframes/11_system_administration.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-024,"to US-030, US-034, US-036, US-038, US-040)",,docs/9.x-user-interface/9.1-wireframes/11_system_administration.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-025,| Data collection core | Backend only | 3 |,,docs/9.x-user-interface/9.1-wireframes/11_system_administration.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-026,Workflow core (`weight,8`),docs/9.x-user-interface/9.1-wireframes/11_system_administration.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-027,| 13 | ✅ Complete |,,docs/9.x-user-interface/9.1-wireframes/11_system_administration.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-028,Security core (`weight,8`),docs/9.x-user-interface/9.1-wireframes/11_system_administration.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-029,| 13 | ✅ Complete |,,docs/9.x-user-interface/9.1-wireframes/11_system_administration.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-030,| 13 | ✅ Complete |,,docs/9.x-user-interface/9.1-wireframes/11_system_administration.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-031,to US-045),Data collection and storage,docs/9.x-user-interface/9.1-wireframes/00_index.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-032,**: Core Data Collection,"As a platform, I want to collect user data efficiently so that analytics are accurate",docs/9.x-user-interface/9.1-wireframes/09_dashboard_analytics.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-033,**: Core Data Storage,"As a platform, I want to store data reliably so that it's available for analysis",docs/9.x-user-interface/9.1-wireframes/09_dashboard_analytics.md,MEDIUM,SUPPORTS,PENDING,89.7%,2.8,HIGH
US-034,**: Event Analytics,"As a platform, I want to analyze events so that I understand user behavior",docs/9.x-user-interface/9.1-wireframes/09_dashboard_analytics.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-035,**: Analytics System,"As a platform, I want a comprehensive analytics system so that insights are generated",docs/9.x-user-interface/9.1-wireframes/09_dashboard_analytics.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-036,**: Admin Storage,"As an admin, I want dedicated storage so that system data is organized",docs/9.x-user-interface/9.1-wireframes/09_dashboard_analytics.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-037,**: Integration Analytics,"As a platform, I want to track integration performance so that I optimize connections",docs/9.x-user-interface/9.1-wireframes/09_dashboard_analytics.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-038,**: Event Collection,"As a platform, I want to collect all events so that nothing is missed",docs/9.x-user-interface/9.1-wireframes/09_dashboard_analytics.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-039,**: Emotional Data Collection,"As a platform, I want to collect emotional signals so that I provide better support",docs/9.x-user-interface/9.1-wireframes/09_dashboard_analytics.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-040,**: Core Analytics,"As a platform, I want core analytics capabilities so that basic metrics are available",docs/9.x-user-interface/9.1-wireframes/09_dashboard_analytics.md,MEDIUM,SUPPORTS,PENDING,89.7%,2.8,HIGH
US-041,**: Marketing Data Collection,"As a marketing team, I want to collect campaign data so that I measure effectiveness",docs/9.x-user-interface/9.1-wireframes/09_dashboard_analytics.md,MEDIUM,SUPPORTS,PENDING,89.7%,2.8,HIGH
US-042,**: Marketing Analytics,"As a marketing team, I want marketing analytics so that I optimize campaigns",docs/9.x-user-interface/9.1-wireframes/09_dashboard_analytics.md,MEDIUM,SUPPORTS,PENDING,89.7%,2.8,HIGH
US-043,**: Business Analytics Storage,"As a business, I want dedicated analytics storage so that reports are fast",docs/9.x-user-interface/9.1-wireframes/09_dashboard_analytics.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-044,**: Integration Analytics,"As a platform, I want detailed integration analytics so that I monitor health",docs/9.x-user-interface/9.1-wireframes/09_dashboard_analytics.md,MEDIUM,SUPPORTS,PENDING,89.7%,2.8,HIGH
US-045,**: Compliance Data Collection,"As a compliance officer, I want data collection logs so that I ensure compliance",docs/9.x-user-interface/9.1-wireframes/09_dashboard_analytics.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-046,| 13 | ✅ Complete |,,docs/9.x-user-interface/9.1-wireframes/11_system_administration.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-047,| 13 | ✅ Complete |,,docs/9.x-user-interface/9.1-wireframes/11_system_administration.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-048,| 21 | ✅ Complete |,,docs/9.x-user-interface/9.1-wireframes/11_system_administration.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-049,| Core admin | Backend only | 5 |,,docs/9.x-user-interface/9.1-wireframes/11_system_administration.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-050,|,,docs/9.x-user-interface/9.1-wireframes/00_index.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-051,to US-052),,docs/9.x-user-interface/9.1-wireframes/00_index.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-052,|,,docs/9.x-user-interface/9.1-wireframes/00_index.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-053,to US-055),,docs/9.x-user-interface/9.1-wireframes/00_index.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-054,Application Metrics,As a job seeker so that I can measure effectiveness,docs/9.x-user-interface/9.1-wireframes/09_dashboard_analytics.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-055,Industry Insights,As a job seeker so that I can target better,docs/9.x-user-interface/9.1-wireframes/09_dashboard_analytics.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-056,Performance Trends,As a job seeker so that I can improve over time,docs/9.x-user-interface/9.1-wireframes/09_dashboard_analytics.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-057,Custom Reports,As a job seeker so that I can analyze specific data,docs/9.x-user-interface/9.1-wireframes/09_dashboard_analytics.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-058,RAV Form Generation,As a RAV registered job seeker so that I comply with requirements,docs/9.x-user-interface/9.1-wireframes/06_rav_compliance.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-059,to US-061),,docs/9.x-user-interface/9.1-wireframes/00_index.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-060,RAV Integration,As a platform so that data syncs automatically,docs/9.x-user-interface/9.1-wireframes/06_rav_compliance.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-061,|,,docs/9.x-user-interface/9.1-wireframes/00_index.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-062,**: Data Processing Pipeline,"As a platform, I want an efficient processing pipeline so that data flows smoothly",docs/9.x-user-interface/9.1-wireframes/09_dashboard_analytics.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-063,RAV Counselor Portal,As a RAV counselor so that I can support job seekers,docs/9.x-user-interface/9.1-wireframes/06_rav_compliance.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-064,to US-071),,docs/9.x-user-interface/9.1-wireframes/00_index.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-065,Document Management,As a RAV registered job seeker so that I organize RAV papers,docs/9.x-user-interface/9.1-wireframes/06_rav_compliance.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-066,Compliance Analytics,As a RAV registered job seeker so that I optimize my efforts,docs/9.x-user-interface/9.1-wireframes/06_rav_compliance.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-067,Language Localization,As a RAV registered job seeker so that I use my preferred language,docs/9.x-user-interface/9.1-wireframes/06_rav_compliance.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-068,Interview Question Bank,As a job seeker so that I can prepare effectively,docs/9.x-user-interface/9.1-wireframes/05_interview_preparation.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-069,Mock Interview Practice,As a job seeker so that I can practice,docs/9.x-user-interface/9.1-wireframes/05_interview_preparation.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-070,(not used in wireframes) | AI Team |,,docs/9.x-user-interface/9.1-wireframes/05_interview_preparation.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-071,|,,docs/9.x-user-interface/9.1-wireframes/00_index.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-072,**: Voice Search,"As a job seeker, I want to search for jobs using voice commands so that I can multitask effectively",docs/9.x-user-interface/9.1-wireframes/08_ai_conversation_flows.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-073,Export Analytics Data,"As a job seeker, I want to export analytics data so that I can analyze externally",docs/9.x-user-interface/9.1-wireframes/09_dashboard_analytics.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-074,Benchmarking,As a job seeker so that I know how I'm doing,docs/9.x-user-interface/9.1-wireframes/09_dashboard_analytics.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-075,ROI Analysis,As a job seeker so that I can optimize efforts,docs/9.x-user-interface/9.1-wireframes/09_dashboard_analytics.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-076,Predictive Analytics,As a job seeker so that I can plan better,docs/9.x-user-interface/9.1-wireframes/09_dashboard_analytics.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-077,**: Gamification Analytics,"As a job seeker, I want to see my gamification metrics so that I stay motivated",docs/9.x-user-interface/9.1-wireframes/09_dashboard_analytics.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-078,to US-083),,docs/9.x-user-interface/9.1-wireframes/00_index.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-079,Job search portal integration,"As a job seeker, I want to import applications from external portals so that I don't duplicate tracking",docs/9.x-user-interface/9.1-wireframes/03_application_tracking.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-080,LinkedIn job integration,"As a job seeker, I want to import LinkedIn Easy Apply applications so that they're tracked automatically",docs/9.x-user-interface/9.1-wireframes/03_application_tracking.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-081,**: Achievement Tracking,"As a job seeker, I want to track my achievements so that I feel accomplished",docs/9.x-user-interface/9.1-wireframes/09_dashboard_analytics.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-082,Portal search functionality,"As a job seeker, I want to search across all connected portals so that I can find applications quickly",docs/9.x-user-interface/9.1-wireframes/03_application_tracking.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-083,|,,docs/9.x-user-interface/9.1-wireframes/00_index.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-084,to US-086),,docs/9.x-user-interface/9.1-wireframes/00_index.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-085,to US-087),,docs/9.x-user-interface/9.1-wireframes/00_index.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-086,ML model deployment (`weight,8`),docs/9.x-user-interface/9.1-wireframes/11_system_administration.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-087,| 21 | ✅ Complete |,,docs/9.x-user-interface/9.1-wireframes/11_system_administration.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-088,Multi-Language Support,As a non-English speaker so that I understand better,docs/9.x-user-interface/9.1-wireframes/10_settings_personalization.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-089,| Version Control | History,"Show previous resume versions"" |",docs/8.x-reports/8.3-transformation-docs/03-master-transformation-index.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-090,Quick Apply,As a job seeker so that I can apply efficiently,docs/9.x-user-interface/9.1-wireframes/03_application_tracking.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-091,to US-111),LinkedIn integration and network features,docs/9.x-user-interface/9.1-wireframes/00_index.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-092,Network analysis features (`weight,8`),docs/9.x-user-interface/9.1-wireframes/12_professional_networking.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-093,Advanced network analysis (`weight,8`),docs/9.x-user-interface/9.1-wireframes/12_professional_networking.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-094,Network communication opportunities (`weight,8`),docs/9.x-user-interface/9.1-wireframes/12_professional_networking.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-095,| 13 | ✅ Complete |,,docs/9.x-user-interface/9.1-wireframes/12_professional_networking.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-096,AI-powered network communication (`weight,5`),docs/9.x-user-interface/9.1-wireframes/12_professional_networking.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-097,Email opportunities from network (`weight,5`),docs/9.x-user-interface/9.1-wireframes/12_professional_networking.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-098,Network prospecting (`weight,8`),docs/9.x-user-interface/9.1-wireframes/12_professional_networking.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-099,Network analysis and insights (`weight,8`),docs/9.x-user-interface/9.1-wireframes/12_professional_networking.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-100,| 21 | ✅ Complete |,,docs/9.x-user-interface/9.1-wireframes/12_professional_networking.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-101,Network opportunities (`weight,8`),docs/9.x-user-interface/9.1-wireframes/12_professional_networking.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-102,| 21 | ✅ Complete |,,docs/9.x-user-interface/9.1-wireframes/12_professional_networking.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-103,Ambassador network communication (`weight,5`),docs/9.x-user-interface/9.1-wireframes/12_professional_networking.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-104,| 21 | ✅ Complete |,,docs/9.x-user-interface/9.1-wireframes/12_professional_networking.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-105,Network referral tracking (`weight,8`),docs/9.x-user-interface/9.1-wireframes/12_professional_networking.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-106,| 21 | ✅ Complete |,,docs/9.x-user-interface/9.1-wireframes/12_professional_networking.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-107,Referral success tracking (`weight,5`),docs/9.x-user-interface/9.1-wireframes/12_professional_networking.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-108,| 21 | ✅ Complete |,,docs/9.x-user-interface/9.1-wireframes/12_professional_networking.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-109,Network expansion tracking (`weight,5`),docs/9.x-user-interface/9.1-wireframes/12_professional_networking.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-110,Connection quality metrics (`weight,8`),docs/9.x-user-interface/9.1-wireframes/12_professional_networking.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-111,|,,docs/9.x-user-interface/9.1-wireframes/00_index.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-112,Weekly Summaries,"As a job seeker, I want automated weekly progress reports",docs/9.x-user-interface/9.1-wireframes/09_dashboard_analytics.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-113,Progress Tracking,"As a job seeker, I want to track week-over-week improvement",docs/9.x-user-interface/9.1-wireframes/09_dashboard_analytics.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-114,Invoice generation,,docs/9.x-user-interface/9.1-wireframes/10_settings_personalization.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-115,| 5 | High | 150 |,,docs/9.x-user-interface/9.1-wireframes/10_settings_personalization.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-116,Performance Optimization,As a platform so that gamification runs smoothly,docs/9.x-user-interface/9.1-wireframes/10_settings_personalization.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-117,Customization Options,As a job seeker so that I personalize my experience,docs/9.x-user-interface/9.1-wireframes/10_settings_personalization.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-118,| Rejection Analysis | Learning,"Why rejections?"" |",docs/8.x-reports/8.3-transformation-docs/03-master-transformation-index.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-119,**: Engagement Metrics,"As a platform, I want to measure user engagement so that I can optimize the experience",docs/9.x-user-interface/9.1-wireframes/09_dashboard_analytics.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
US-120,"to US-134 (Analytics), US-180 to US-195 (Portals)",,implementation-code/modules/MODULE-NAMING-CONFLICTS-DETAILED-ANALYSIS.md,BASIC,ENHANCES,PENDING,89.7%,2.8,MEDIUM
